2025-12-05 16:33:56,177 INFO    MainThread:13554 [wandb_setup.py:_flush():81] Current SDK version is 0.22.2
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_setup.py:_flush():81] Configure stats pid to 13554
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_setup.py:_flush():81] Loading settings from /dss/dsshome1/09/ra47fey3/.config/wandb/settings
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_setup.py:_flush():81] Loading settings from /dss/dsshome1/09/ra47fey3/adl_ws/Applied-Deeplearning/wandb/settings
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /dss/dsshome1/09/ra47fey3/adl_ws/Applied-Deeplearning/wandb/run-20251205_163356-hi1vhf1c/logs/debug.log
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /dss/dsshome1/09/ra47fey3/adl_ws/Applied-Deeplearning/wandb/run-20251205_163356-hi1vhf1c/logs/debug-internal.log
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_init.py:init():832] calling init triggers
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-05 16:33:56,178 INFO    MainThread:13554 [wandb_init.py:init():880] starting backend
2025-12-05 16:33:56,423 INFO    MainThread:13554 [wandb_init.py:init():883] sending inform_init request
2025-12-05 16:33:56,457 INFO    MainThread:13554 [wandb_init.py:init():891] backend started and connected
2025-12-05 16:33:56,461 INFO    MainThread:13554 [wandb_init.py:init():961] updated telemetry
2025-12-05 16:33:56,496 INFO    MainThread:13554 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-12-05 16:33:57,136 INFO    MainThread:13554 [wandb_init.py:init():1036] starting run threads in backend
2025-12-05 16:33:57,387 INFO    MainThread:13554 [wandb_run.py:_console_start():2509] atexit reg
2025-12-05 16:33:57,388 INFO    MainThread:13554 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-12-05 16:33:57,388 INFO    MainThread:13554 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-12-05 16:33:57,388 INFO    MainThread:13554 [wandb_run.py:_redirect():2449] Redirects installed.
2025-12-05 16:33:57,399 INFO    MainThread:13554 [wandb_init.py:init():1076] run started, returning control to user process
